Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
205,Deutsche Bank,"$65,978.1",56%,"$6,845.3",20.10%,"$1,454,899.5","90,130",149,30
206,China Vanke,"$65,789.5",-12.20%,"$1,718.1",-48.90%,"$212,019.5","1,31,097",-33,9
207,HCA Healthcare,"$64,968",7.90%,"$5,242",-7.10%,"$56,211","2,65,000",19,30
208,Sumitomo Mitsui Financial Group,"$64,718.3",42.60%,"$6,662.7",11.90%,"$1,952,365.4","1,20,373",113,30
209,LG Electronics,"$64,490.5",-0.70%,$545.8,-41.10%,"$46,502.9","74,000",-5,24
210,Unilever,"$64,435.5",2%,"$7,012.8",-12.80%,"$83,130.1","1,28,377",,30
211,Accenture,"$64,111.8",4.10%,"$6,871.6",-0.10%,"$51,245.3","7,32,819",9,23
212,Barclays,"$63,800.6",41.70%,"$6,535.9",-10.60%,"$1,883,108.6","92,400",113,30
213,Jinneng Holding Group,"$63,639.8",-18.20%,$993.6,177%,"$159,091.1","4,39,051",-50,12
214,Aluminum Corp. of China,"$63,595.4",-17.40%,$876.5,-48.40%,"$86,868","1,24,995",-48,17
215,Munich Re Group,"$63,353.3",-16.40%,"$4,979.4",38%,"$302,400","42,812",-45,30
216,Sberbank,"$63,329.9",13.30%,"$17,743.5",348.20%,"$583,489.4","2,10,753",34,17
217,Banco do Brasil,"$63,322.2",14.50%,"$5,980.4",11.70%,"$443,906.4","86,220",34,30
218,The Progressive Corporation,"$62,108.5",25.20%,"$3,902.4",440.90%,"$88,690.8","61,432",69,11
219,IBM,"$61,860",2.20%,"$7,502",357.70%,"$135,241","2,96,600",5,30
220,Nippon Steel Corporation,"$61,359.1",4.10%,"$3,801.2",-25.90%,"$70,854.6","1,21,236",16,30
221,Deere,"$61,251",16.50%,"$10,166",42.60%,"$104,087","82,956",47,30
222,Nvidia,"$60,922",125.90%,"$29,760",581.30%,"$65,728","29,600",,1
223,StoneX Group,"$60,856.1",-7.80%,$238.5,15.20%,"$21,938.7","4,137",-25,14
224,Zurich Insurance Group,"$60,645",45.30%,"$4,351",-5.50%,"$361,382","59,593",134,30
225,Bouygues,"$60,599.9",29.80%,"$1,124.3",9.90%,"$67,093","2,01,498",84,30
226,Mizuho Financial Group,"$60,503.6",41.70%,"$4,698",14.50%,"$1,842,826","52,307",124,24
227,Daimler Truck Holding,"$60,420.4",12.80%,"$4,081",45.60%,"$78,652.5","1,02,946",37,2
